                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 0.9356,                0.90901,                 1.0785,                0.76417,                0.77705,                0.79672,                0.53322,                 0.9451,                 1.0849,                   1.09,              0.0013947,              0.0013947,              0.0013947
                     35,                0.93888,                 0.9179,                  1.116,                0.73829,                0.72022,                0.76139,                0.52397,                0.96808,                 1.1099,                 1.1198,              0.0013864,              0.0013864,              0.0013864
                     36,                0.94839,                0.90712,                 1.0803,                0.78404,                0.79803,                 0.8359,                 0.5772,                0.91442,                 1.0966,                 1.0887,              0.0013782,              0.0013782,              0.0013782
                     37,                0.92011,                 0.8941,                 1.0986,                0.79308,                0.77616,                0.83239,                0.56396,                0.94801,                 1.0359,                 1.1032,              0.0013699,              0.0013699,              0.0013699
                     38,                0.87398,                0.85189,                 1.0793,                0.75144,                0.73927,                0.78029,                0.51007,                0.98296,                 1.0963,                 1.1409,              0.0013617,              0.0013617,              0.0013617
                     39,                0.94595,                0.89901,                 1.1126,                0.79415,                 0.7635,                0.81544,                0.55167,                0.95291,                0.96946,                 1.1129,              0.0013534,              0.0013534,              0.0013534
                     40,                0.94071,                0.88192,                 1.1106,                0.82029,                0.77938,                0.83477,                0.57133,                0.92886,                0.92882,                 1.0855,              0.0013452,              0.0013452,              0.0013452
                     41,                0.93737,                0.90367,                   1.12,                0.82762,                0.74679,                0.80318,                0.57209,                0.91554,                0.93023,                 1.0923,              0.0013369,              0.0013369,              0.0013369
                     42,                0.89978,                0.80982,                 1.1005,                0.80207,                0.77481,                 0.8181,                0.56626,                0.91901,                 0.9524,                 1.0968,              0.0013287,              0.0013287,              0.0013287
                     43,                0.88586,                0.83523,                  1.092,                0.78782,                0.79109,                0.84201,                0.55313,                0.98105,                 1.0108,                 1.1062,              0.0013204,              0.0013204,              0.0013204
                     44,                0.93502,                0.83951,                 1.0992,                0.78045,                0.80353,                0.86345,                0.60149,                0.88424,                0.97876,                 1.0607,              0.0013122,              0.0013122,              0.0013122
